2023-09-13 at 16:47:07 | INFO | Creating the Mismatch Database
2023-09-13 at 16:47:07 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/8e/0820f063b9be15eea9aca9585256f9/hangzhou-flavivirus-2--2905435/work/mismatch.db
2023-09-13 at 16:47:07 | INFO | Read in MSA: 2905435_final	seqs:1	cols:21143
2023-09-13 at 16:47:11 | INFO | 2905435_final: digested to 12727 FKmers and 13279 RKmers
2023-09-13 at 16:51:13 | INFO | 2905435_final: Generated 1572813 possible amplicons
2023-09-13 at 16:51:13 | INFO | Added first amplicon for 2905435_final: 161	1172	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 2905435_final: 1023	2052	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 2905435_final: 1893	2923	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 2905435_final: 2756	3780	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 2905435_final: 3627	4658	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 2905435_final: 4502	5532	2
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 2905435_final: 5373	6403	1
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 2905435_final: 6232	7264	2
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 2905435_final: 7103	8129	1
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 2905435_final: 7975	9005	2
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 2905435_final: 8846	9871	1
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 2905435_final: 9720	10740	2
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 2905435_final: 10575	11593	1
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 2905435_final: 11405	12432	2
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 2905435_final: 12278	13300	1
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 2905435_final: 13152	14178	2
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 2905435_final: 14020	15049	1
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 2905435_final: 14884	15912	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 2905435_final: 15753	16782	1
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 2905435_final: 16621	17645	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 2905435_final: 17481	18507	1
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 2905435_final: 18355	19375	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 2905435_final: 19217	20242	1
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 2905435_final: 20093	21122	2
2023-09-13 at 16:51:17 | INFO | Writting output files
